vendor_id,m_id,persona_id,price_score,user_id
53,7,1,2.5,1
53,7,3,3,1
48,6,1,3.5,1
48,6,3,4.5,1
36,5,1,4,1
36,5,3,2,1
37,5,1,3.25,1
37,5,3,5,1
43,6,1,4,1
43,6,3,5,1
22,4,1,4,1
22,4,3,3.5,1
22,5,1,3.5,1
22,5,3,3,1
22,6,1,3.5,1
22,6,3,3,1
22,7,1,3.5,1
22,7,3,3,1
22,8,1,3.63,1
22,8,3,3.13,1
22,1,1,3.5,1
22,1,3,3.5,1
22,2,1,3.5,1
22,2,3,3.5,1
22,3,1,3.5,1
22,3,3,3.5,1
22,9,1,3.58,1
22,9,3,3.25,1
14,2,1,3,1
14,2,3,4,1
15,1,1,3,1
15,1,3,3,1
15,2,1,3.25,1
15,2,3,3,1
15,3,1,3.125,1
15,3,3,3,1
13,1,1,4.25,1
13,1,3,3,1
13,2,1,3.5,1
13,2,3,3,1
13,3,1,3.875,1
13,3,3,3,1
25,4,1,4,1
25,4,3,3,1
25,6,1,4,1
25,6,3,3,1
25,1,1,3.5,1
25,1,3,3,1
20,1,1,3,1
20,1,3,3,1
21,2,1,5,1
8,4,1,4.25,1
8,4,3,3,1
8,5,1,3,1
8,5,3,3.5,1
8,6,1,3.5,1
8,6,3,3,1
8,7,1,3.5,1
8,7,3,3,1
8,8,1,3.56,1
8,8,3,3.13,1
8,1,1,3.5,1
8,1,3,3,1
8,2,1,3.5,1
8,2,3,3,1
8,3,1,3.5,1
8,3,3,3,1
8,9,1,3.54,1
8,9,3,3.08,1
26,1,1,5,1
26,1,3,3.5,1
63,4,1,2.75,1
63,4,3,5,1
63,5,1,2.75,1
63,5,3,5,1
64,6,1,3.5,1
64,6,3,3,1
65,5,1,4.5,1
65,5,3,4,1
66,4,1,5,1
66,4,3,4.5,1
